"date","Open","High","Low","Close","Volume","figi"
"13-03-2014",73.5,73.89,68.87,69.8,259426290,"BBG004730N88"
"14-03-2014",68,71.75,65.33,71.2,349214140,"BBG004730N88"
"17-03-2014",72.5,80.29,71.05,76.71,345952200,"BBG004730N88"
"18-03-2014",77.6,82,75.64,82,303833560,"BBG004730N88"
"19-03-2014",81.58,82.6,79.13,80.64,260331520,"BBG004730N88"
"20-03-2014",79.55,81.27,78.43,79.4,190721940,"BBG004730N88"
"21-03-2014",77.2,78.51,76.1,78.47,208216970,"BBG004730N88"
"24-03-2014",78.47,80.38,77.82,78.4,168725190,"BBG004730N88"
"25-03-2014",78.84,81.97,77.34,81.7,409728910,"BBG004730N88"
"26-03-2014",82.1,84.34,82.02,82.5,230740070,"BBG004730N88"
"27-03-2014",82.16,82.72,79.2,79.9,185796940,"BBG004730N88"
"28-03-2014",80.4,81.96,79.67,81.36,152251640,"BBG004730N88"
"31-03-2014",81.39,83.8,81.12,83.8,178420740,"BBG004730N88"
" 1-04-2014",84.01,84.68,82.75,83.88,155874300,"BBG004730N88"
" 2-04-2014",84,84.18,81.44,82.67,143111440,"BBG004730N88"
" 3-04-2014",82.88,83.39,81.21,81.51,128019900,"BBG004730N88"
" 4-04-2014",81.95,83.3,80.85,82.98,147144280,"BBG004730N88"
" 7-04-2014",81.88,81.88,78.87,79.95,236973220,"BBG004730N88"
" 8-04-2014",79.9,80.0,78.51,79.41,163833200,"BBG004730N88"
" 9-04-2014",79.8,80.1,77.75,78.85,161482080,"BBG004730N88"
"10-04-2014",79.22,80.44,78.51,79.9,178317570,"BBG004730N88"
"11-04-2014",78.71,80.07,77.65,79.75,154422060,"BBG004730N88"
"14-04-2014",79.11,79.11,77.5,78.35,195927810,"BBG004730N88"
"15-04-2014",78,78.34,75.1,75.2,192045020,"BBG004730N88"
"16-04-2014",75.95,76.5,73.62,76.13,273260190,"BBG004730N88"
"17-04-2014",76,77.21,75.2,76.89,203334510,"BBG004730N88"
"18-04-2014",78.39,79.4,78.22,78.82,115358050,"BBG004730N88"
"21-04-2014",78.8,78.8,77.46,77.62,84690290,"BBG004730N88"
"22-04-2014",77.5,77.5,75.6,76.3,136425900,"BBG004730N88"
"23-04-2014",76.2,76.51,75.12,75.56,133283600,"BBG004730N88"
"24-04-2014",75.85,76.11,71.81,73.21,255405810,"BBG004730N88"
"25-04-2014",73.05,73.1,69.56,69.91,299078510,"BBG004730N88"
"28-04-2014",69,73.7,67.9,73.39,383195670,"BBG004730N88"
"29-04-2014",74.19,74.66,72.3,72.8,184381250,"BBG004730N88"
"30-04-2014",72.51,73.27,71.48,72.5,109116850,"BBG004730N88"
" 2-05-2014",72,72.5,70.89,72.22,64294280,"BBG004730N88"
" 5-05-2014",71.35,80.0,71.01,71.99,67226800,"BBG004730N88"
" 6-05-2014",72.32,74.3,72.32,74.1,129555640,"BBG004730N88"
" 7-05-2014",73.23,80.37,73.16,78.5,272383480,"BBG004730N88"
" 8-05-2014",79,80.25,77.57,78.8,249283180,"BBG004730N88"
"12-05-2014",78.79,79.9,77.73,79.08,164644990,"BBG004730N88"
"13-05-2014",79.76,81.08,79.15,80.15,186800010,"BBG004730N88"
"14-05-2014",80.25,81.68,79.55,81.38,136660940,"BBG004730N88"
"15-05-2014",81.1,82.3,72.4,80.04,171545030,"BBG004730N88"
"16-05-2014",79.4,79.79,78.53,79.2,148402150,"BBG004730N88"
"19-05-2014",79.3,81.68,79.17,81.62,141341330,"BBG004730N88"
"20-05-2014",82.05,82.55,80.55,82.31,156714360,"BBG004730N88"
"21-05-2014",82,84.09,81.3,83.59,191853430,"BBG004730N88"
"22-05-2014",84.01,84.3,82.16,83.26,132331140,"BBG004730N88"
"23-05-2014",83.2,85.98,82.63,85.83,171154020,"BBG004730N88"
"26-05-2014",86,87.62,85.37,86.87,113926190,"BBG004730N88"
"27-05-2014",86.9,86.9,83.95,84.33,149979600,"BBG004730N88"
"28-05-2014",84.5,85.38,83.73,84.95,117406900,"BBG004730N88"
"29-05-2014",85.3,86.01,84.18,85.65,133574640,"BBG004730N88"
"30-05-2014",85.65,85.9,84.21,84.5,109490150,"BBG004730N88"
" 2-06-2014",84.76,87.15,84.76,85.91,136553000,"BBG004730N88"
" 3-06-2014",85.3,86.84,84.66,86.84,119916060,"BBG004730N88"
" 4-06-2014",86.41,88.47,86.23,87.81,118840760,"BBG004730N88"
" 5-06-2014",87.95,89.05,86.54,87.43,137730320,"BBG004730N88"
" 6-06-2014",87.75,89.18,86.28,89,127964230,"BBG004730N88"
" 9-06-2014",89.3,89.6,88.62,88.89,84842190,"BBG004730N88"
"10-06-2014",88.88,89,87.87,88.99,87441490,"BBG004730N88"
"11-06-2014",89,89.33,88.51,89,68344110,"BBG004730N88"
"16-06-2014",84.5,85.72,84.15,84.85,130300750,"BBG004730N88"
"17-06-2014",84.95,85.55,83.37,83.8,87025520,"BBG004730N88"
"18-06-2014",84.11,84.55,83.12,83.77,115446880,"BBG004730N88"
"19-06-2014",84.55,85.69,84.35,84.8,112078360,"BBG004730N88"
"20-06-2014",84.8,85.14,84.1,84.16,83721100,"BBG004730N88"
"23-06-2014",84.23,85.3,83.41,83.68,99045460,"BBG004730N88"
"24-06-2014",84.09,86.6,83.91,86.5,151239210,"BBG004730N88"
"25-06-2014",86.02,86.4,83.85,84.4,117547070,"BBG004730N88"
"26-06-2014",84.9,85.14,83.46,84.1,99481360,"BBG004730N88"
"27-06-2014",84.15,84.94,83.96,84.33,57140600,"BBG004730N88"
"30-06-2014",84.5,84.7,83.03,84.5,82746490,"BBG004730N88"
" 1-07-2014",84.45,84.46,83.05,84.07,80161320,"BBG004730N88"
" 2-07-2014",84.3,85.97,84.12,85.79,94197580,"BBG004730N88"
" 3-07-2014",85.9,86.5,85.25,85.34,76423880,"BBG004730N88"
" 4-07-2014",85.51,85.86,83.8,84,69518370,"BBG004730N88"
" 7-07-2014",84.08,85.7,83.87,85.49,72142760,"BBG004730N88"
" 8-07-2014",85.3,86.69,83.86,85.11,100760140,"BBG004730N88"
" 9-07-2014",84.91,85.56,84.2,85.2,80831840,"BBG004730N88"
"10-07-2014",85.74,86.09,83.37,84.47,114397280,"BBG004730N88"
"11-07-2014",84.5,86.45,83.8,84.55,78341360,"BBG004730N88"
"14-07-2014",84.65,85.19,83.55,83.55,69434020,"BBG004730N88"
"15-07-2014",83.82,84.01,82.87,83.09,80238720,"BBG004730N88"
"16-07-2014",83,83.98,82.55,83.78,86004300,"BBG004730N88"
"17-07-2014",82,82.19,80.53,81.5,147922860,"BBG004730N88"
"18-07-2014",79.8,80.96,79.59,80.27,148993880,"BBG004730N88"
"21-07-2014",80.31,80.4,76.56,76.56,182805100,"BBG004730N88"
"22-07-2014",77.3,78.84,77.06,78.3,156915550,"BBG004730N88"
"23-07-2014",78.4,78.94,76.6,77.45,93656280,"BBG004730N88"
"24-07-2014",77,77.37,75.81,76.87,101982410,"BBG004730N88"
"25-07-2014",76.81,76.98,75,75.16,112528510,"BBG004730N88"
"28-07-2014",74.51,74.6,72.6,72.82,118901480,"BBG004730N88"
"29-07-2014",72.45,74.5,71.86,73.2,194652850,"BBG004730N88"
"30-07-2014",72.65,75.83,72.33,73.68,196888780,"BBG004730N88"
"31-07-2014",73.9,75.27,73.24,73.6,110573680,"BBG004730N88"
" 1-08-2014",72.88,73.5,71.52,72.37,183566260,"BBG004730N88"
" 4-08-2014",72.8,73.59,71.85,72.75,102965070,"BBG004730N88"
" 5-08-2014",73,73.3,71.57,71.6,103764890,"BBG004730N88"
" 6-08-2014",71.22,71.3,68.85,69,258477490,"BBG004730N88"
" 7-08-2014",68.42,69.3,66.1,68.5,258520110,"BBG004730N88"
" 8-08-2014",67.91,70.75,67.91,70.7,173405320,"BBG004730N88"
