"loss","profit","macd_level","target_stability","balance"
"0.001","0.01","0.05","0","118.0"
"0.001","0.01","0.05","1","-272.0"
"0.001","0.01","0.05","2","-272.0"
"0.001","0.01","0.05","3","-272.0"
"0.001","0.01","0.05","4","-272.0"
"0.001","0.01","0.05","6","-272.0"
"0.001","0.01","0.1","0","-342.0"
"0.001","0.01","0.1","1","-156.0"
"0.001","0.01","0.1","2","-156.0"
"0.001","0.01","0.1","3","-156.0"
"0.001","0.01","0.1","4","-156.0"
"0.001","0.01","0.1","6","-156.0"
"0.001","0.01","0.15","0","-911.0"
"0.001","0.01","0.15","1","-725.0"
"0.001","0.01","0.15","2","-725.0"
"0.001","0.01","0.15","3","-725.0"
"0.001","0.01","0.15","4","-725.0"
"0.001","0.01","0.15","6","-725.0"
"0.001","0.01","0.2","0","-683.0"
"0.001","0.01","0.2","1","-497.0"
"0.001","0.01","0.2","2","-497.0"
"0.001","0.01","0.2","3","-497.0"
"0.001","0.01","0.2","4","-497.0"
"0.001","0.01","0.2","6","-497.0"
"0.001","0.01","0.25","0","-741.0"
"0.001","0.01","0.25","1","-554.0"
"0.001","0.01","0.25","2","-554.0"
"0.001","0.01","0.25","3","-554.0"
"0.001","0.01","0.25","4","-554.0"
"0.001","0.01","0.25","6","-554.0"
"0.001","0.01","0.3","0","-683.0"
"0.001","0.01","0.3","1","-1076.0"
"0.001","0.01","0.3","2","-1076.0"
"0.001","0.01","0.3","3","-1076.0"
"0.001","0.01","0.3","4","-1076.0"
"0.001","0.01","0.3","6","-1076.0"
"0.001","0.01","0.35","0","-569.0"
"0.001","0.01","0.35","1","-961.0"
"0.001","0.01","0.35","2","-961.0"
"0.001","0.01","0.35","3","-961.0"
"0.001","0.01","0.35","4","-961.0"
"0.001","0.01","0.35","6","-961.0"
"0.001","0.01","0.4","0","-282.0"
"0.001","0.01","0.4","1","-674.0"
"0.001","0.01","0.4","2","-674.0"
"0.001","0.01","0.4","3","-674.0"
"0.001","0.01","0.4","4","-674.0"
"0.001","0.01","0.4","6","-674.0"
"0.001","0.01","0.45","0","-111.0"
"0.001","0.01","0.45","1","-560.0"
"0.001","0.01","0.45","2","-560.0"
"0.001","0.01","0.45","3","-560.0"
"0.001","0.01","0.45","4","-560.0"
"0.001","0.01","0.45","6","-560.0"
"0.001","0.01","0.5","0","-391.0"
"0.001","0.01","0.5","1","-162.0"
"0.001","0.01","0.5","2","-162.0"
"0.001","0.01","0.5","3","-162.0"
"0.001","0.01","0.5","4","-162.0"
"0.001","0.01","0.5","6","-162.0"
"0.002","0.01","0.05","0","1308.0"
"0.002","0.01","0.05","1","488.0"
"0.002","0.01","0.05","2","488.0"
"0.002","0.01","0.05","3","488.0"
"0.002","0.01","0.05","4","488.0"
"0.002","0.01","0.05","6","488.0"
"0.002","0.01","0.1","0","1541.0"
"0.002","0.01","0.1","1","603.0"
"0.002","0.01","0.1","2","603.0"
"0.002","0.01","0.1","3","603.0"
"0.002","0.01","0.1","4","603.0"
