"figi","rate_success","rate_loss","rate_profit","income_loss","income_profit","profit_all","profit_mounth","profit_week"

"BBG00T22WKV5",19.5,2.52,0.0,-290.75,nan,928.0,7.17,13.69
"BBG00R05JT04",13.04,13.04,0.0,-307.15,nan,-10403.0,-129.42,-91.32
"BBG00PNLY692",11.03,25.17,0.0,-242.9,nan,-15839.54,-91.43,-101.15
"BBG00KHGQP89",18.22,19.38,0.39,-313.92,2087.0,-2879.0,-26.67,-21.79
"BBG00JYHHXN7",18.95,12.11,0.0,-304.52,nan,-5244.0,-64.91,-56.38
"BBG00Q9K64Q5",21.76,6.48,0.0,-300.57,nan,-2698.0,-1.6,-24.4
"BBG00H2TYMQ2",8.33,21.3,0.0,-308.35,nan,-11042.0,-182.95,-208.42
"BBGHUYNYAPU3",14.72,10.66,0.0,-308.67,nan,-7192.0,-62.6,-66.82
"BBG00FJV9WC4",20.83,5.21,0.0,-249.0,nan,2486.0,18.96,24.24
"BBG00NRG74N3",17.5,5.42,0.0,-307.92,nan,-3783.0,-38.23,-25.76
"TCS00A102D46",13.71,16.13,1.61,-258.95,1738.44,-4119.03,-80.83,-85.99
"BBG00NWBZTW2",18.94,13.66,0.0,-308.81,nan,-3013.0,-15.54,-15.31
"TCS00A102LD1",19.9,12.57,0.0,-298.42,nan,-4512.0,-52.21,-31.8
"XS2091668447",0.0,16.67,0.0,-300.0,nan,-3412.5,-1137.5,-928.12
"BBG00YQ0FTY9",12.09,0.93,0.0,-301.0,nan,-2682.0,-29.44,-19.23
"BBG00PYMV931",19.74,15.13,0.0,-3075.26,nan,-33031.0,-425.71,-397.86
"BBG003TTSBB1",16.16,3.49,0.0,-311.25,nan,-2898.0,-30.01,-33.19
"BBG00N8HZBK8",8.57,17.14,0.0,-319.33,nan,-2616.0,-358.31,-130.32
"TCS00A1004Z9",16.47,18.82,0.0,-3178.75,nan,57140.0,2589.85,1341.43
"BBG00VQNQ8P9",14.85,10.89,0.0,-310.27,nan,-5396.0,-36.24,-63.91
"BBG0042XYMN5",10.81,16.22,0.0,-307.67,nan,1424.0,70.81,73.24
"BBG00MTS7DY5",16.67,4.41,0.0,-306.11,nan,-3935.0,-38.07,-39.64
"BBG00QQ73R50",17.29,8.88,0.0,-304.74,nan,-4870.0,2.59,-24.11
"BBG00RKDZWG3",13.78,0.44,0.0,-298.0,nan,-2011.0,-26.07,-17.78
"BBG003P5FHW5",23.23,5.05,0.0,-308.8,nan,-563.3,25.84,-5.69
"BBG006SB4SV1",21.26,10.63,0.0,-15.22,nan,-272.0,-1.32,-0.96
"BBG00V6NXQF4",14.29,16.22,0.0,-303.55,nan,-11929.0,-91.4,-99.11
"BBG00K64TX06",17.14,6.86,0.0,-303.17,nan,-4518.0,-36.44,-40.67
"BBG00QTDV828",21.4,11.52,0.0,-305.89,nan,-3715.0,12.89,-29.81
"BBG00CNJBLC4",14.81,15.56,0.0,-297.29,nan,-3163.0,-62.53,-35.87
"BBG00PXMNQ97",13.33,11.79,0.0,-313.13,nan,-8822.0,-95.87,-87.23
"BBG00J3MJ9F0",15.61,13.87,0.0,-309.46,nan,-4087.0,-55.22,-40.94
"TCS00A102DK3",11.87,0.0,0.0,nan,nan,-2330.0,-16.7,-18.83
"BBG00QKHLXT5",23.68,15.79,0.0,-276.67,nan,1832.0,-42.13,-4.51
"BBG00PYR5CH7",15.58,3.52,0.0,-306.43,nan,-3745.0,-31.07,-31.62
"BBG00NHJGKN2",16.88,13.92,0.0,-300.85,nan,-7858.0,-57.46,-64.27
"BBG00QJ5M7P3",17.75,12.12,0.0,-181.64,nan,-2456.09,-5.59,18.66
"BBG00JRK86V8",0.0,37.5,0.0,-312.97,nan,-938.9,-261.12,-208.8
"BBG00FZGD8T9",11.73,12.35,0.0,-310.25,nan,-7365.0,-60.22,-68.24
"TCS00A102M86",13.07,2.01,0.0,-302.25,nan,-3449.0,-28.45,-32.58
"BBG00QXGMP19",16.73,16.73,1.14,-307.61,2127.0,-2164.0,-35.38,-18.59
"BBG00QZ4PBD9",16.41,15.23,0.0,-287.44,nan,-9700.0,-63.66,-94.2
"BBG00VP0CN81",20.98,14.69,0.7,-313.62,2091.0,-1885.0,-12.8,-10.32
"ISSUANCEPRLS",18.31,9.39,0.0,-302.95,nan,-5549.0,-67.64,-59.74
"BBG00YS45GT4",13.17,0.0,0.0,nan,nan,-1440.0,-16.2,-13.34
"BBG00HBPXX50",16.1,7.32,0.0,-316.4,nan,-3346.0,-37.1,-32.15
"BBG00N9JTH81",16.1,19.48,0.0,-67.34,nan,-1691.33,-17.85,-14.13
"BBG00R4C49T4",16.19,3.81,0.0,-305.38,nan,-4333.0,-43.16,-35.69
"BBG00RRSRHF6",16.74,13.49,0.0,-296.07,nan,-6189.4,-47.34,-31.86
"BBG00NHKJVW2",12.77,0.0,0.0,nan,nan,-180.0,-7.83,-2.68
"BBG00PVL2PM1",22.12,6.45,0.0,-314.29,nan,-1860.0,-6.52,-10.63
"BBG00NTDT6H6",13.31,29.03,1.21,-350.71,2355.0,-676.0,12.27,-8.48
"BBG00QB5VPL5",15.56,20.0,0.0,-308.89,nan,-7850.0,-104.29,-95.98
"BBG00FBB67V3",19.88,14.04,0.0,-287.17,nan,-2743.0,-77.7,-36.12
"BBG0000K94P9",19.73,2.04,0.0,-316.33,nan,-399.0,-21.43,-6.59
"BBG00L9H7QZ3",17.84,12.86,0.0,-302.32,nan,-2282.0,31.87,-45.75
"BBG00R83FV73",16.49,12.77,0.0,-306.54,nan,-8977.0,-86.22,-81.41
"BBG00QKPP373",17.51,19.46,0.39,-307.62,2059.0,-4342.0,-56.47,-18.75
"BBG00K4MR057",15.73,20.79,0.0,-319.11,nan,-5907.0,-51.47,-52.54
"BBG00YZ2MHK8",11.85,2.84,0.0,-301.5,nan,-4009.0,-30.28,-33.34
"TCS00A102T97",15.84,0.99,0.0,-302.0,nan,-1042.0,-24.78,-27.12
"BBG00J7PCW56",15.79,10.53,0.0,-311.5,nan,-93.0,143.36,119.81
"BBG00NZJ2QF3",18.8,0.0,0.0,nan,nan,-490.0,-10.95,-6.06
"BBG00RT7J0J2",15.66,10.1,0.51,-303.0,2040.0,-4020.0,-37.16,-50.37
"BBG00PVT6KR6",20.0,15.77,0.38,-318.66,2116.0,-2519.0,4.86,-3.16
"BBG00QDT3B79",20.69,15.52,0.0,-321.12,nan,1645.1,76.65,84.59
"BBG00P33LXJ8",22.02,11.93,0.92,-308.08,2011.0,-714.0,40.63,43.6
"BBG00HXHKRV2",18.98,14.81,0.0,-238.62,nan,-3416.2,-16.62,-51.97
"BBG00CM4SCD9",17.07,19.51,0.0,-299.38,nan,3325.0,-19.06,109.09
"BBG007Z13SN3",21.08,1.08,0.0,-305.0,nan,-1423.0,-17.69,-3.4
"BBG00L31GQQ4",11.59,26.09,0.0,-15167.56,nan,-205016.0,-6196.03,-5827.95
"BBG00N6MD6M2",7.52,26.32,1.5,-325.49,2162.5,-10637.0,-170.54,-121.19
"BBG00QPRTZJ6",16.59,11.52,0.0,-306.2,nan,-4095.0,-42.85,-34.63
"BBG00DGSQ218",18.64,10.73,0.0,-306.74,nan,-4298.0,-77.28,-61.27
"BBG00JDYRRR1",19.4,1.49,1.49,-298.0,1964.0,1126.0,65.3,20.23
"BBG00FX0RDF5",17.91,2.49,0.0,-310.4,nan,-1933.0,-30.89,-16.7
"BBG00XV43CN9",9.57,10.64,1.06,-291.4,1933.0,614.0,31.2,7.35
"BBG00GKHR834",15.23,2.06,0.0,-300.8,nan,-3284.0,-20.04,-24.96
"BBG00GDC1GV2",14.53,17.09,0.0,-303.75,nan,-4925.0,-49.88,-70.81
"BBG00Z84TTZ2",17.79,12.27,0.0,-297.25,nan,-2975.0,-61.62,-30.36
"BBG00HZNZVC3",19.11,0.44,0.0,-306.0,nan,-1363.0,-10.99,-10.6
"RU000A101GB7",17.33,7.56,0.0,-304.06,nan,-7289.0,-53.35,-58.93
"BBGYAKUTV001",17.79,6.32,0.0,-314.88,nan,-6968.0,-19.78,-45.47
"BBG00JFD2KG9",19.85,19.08,0.0,-309.28,nan,-2472.0,98.62,38.77
"BBG00F6NJY77",13.86,19.8,0.0,-297.35,nan,-3927.0,-123.46,-84.27
"BBG00K14Y7Z4",9.09,0.0,0.0,nan,nan,-30.0,-6.0,-6.0
"BBG00QXGQYZ9",17.0,9.31,0.0,-306.17,nan,-8562.0,-79.72,-76.69
"TCS00A101GZ6",21.39,7.51,0.0,-298.92,nan,2354.0,82.27,47.91
"BBG00WYH0LS7",18.6,13.49,0.0,-312.1,nan,-2321.0,-25.07,-13.66
"BBG00ZLH4MW3",13.27,4.42,0.0,-305.4,nan,-3227.0,-35.86,-50.33
"TCS00A101GW3",13.99,13.17,0.0,-305.53,nan,-11127.0,-118.88,-98.04
"TCS00A102BK7",10.7,14.44,0.0,-301.15,nan,-8871.0,-98.01,-90.55
"BBG00NNMVRW6",13.08,18.46,1.54,-307.5,2056.0,662.0,359.9,175.62
"BBG00B8SX525",14.29,25.51,0.0,-301.16,nan,-949.0,-32.57,-50.94
"BBG000000008",17.93,17.93,0.0,-279.42,nan,-4952.0,-98.95,-55.13
"BBG000000007",16.83,14.85,0.0,-2995.67,nan,-53635.0,-1114.47,-1090.64
"BBG000000009",16.09,9.96,0.0,-261.23,nan,-3789.0,-25.65,-37.66
"BBG00N9Q06D4",16.78,10.49,0.0,-308.67,nan,-5640.0,-100.46,-103.72
"BBG000000006",17.41,6.47,0.0,-302.23,nan,-3089.0,-81.06,-34.39
"BBG000000005",18.47,8.56,0.0,-308.63,nan,-3454.0,-42.4,-35.24
"BBG00P0ML5F4",21.66,9.55,0.0,-75.6,nan,518.5,10.5,8.87
"BBG00D1W74B1",19.7,5.56,0.51,-36.51,263.6,-10.8,-1.43,-1.11
"BBG00K1Y24S8",18.79,3.36,0.0,-300.6,nan,-363.0,28.24,0.39
"BBG00MSGYVV5",17.83,5.73,0.0,-312.0,nan,-2268.0,-28.67,-26.11
"TCS00A101YV8",19.82,9.25,0.0,-312.29,nan,-3318.0,-25.01,-41.87
"BBG00VX9T3B5",17.53,21.65,0.0,-306.29,nan,-552.0,-16.15,-11.76
"BBG00QXGPWQ4",17.24,5.91,0.0,-302.17,nan,-5336.0,-57.48,-32.18
"BBG00S1L7459",17.67,9.48,0.0,-259.67,nan,-5161.5,-20.96,-40.62
"BBG00R6WV4J0",20.51,15.38,5.13,-304.67,2046.0,-596.0,-128.58,-215.26
"BBG00GCRTCX7",13.25,22.89,0.0,-316.53,nan,-8768.0,-72.15,-120.1
"BBG00NTZTZ47",15.25,17.04,0.0,-323.47,nan,-8882.0,-56.37,-51.46
"BBG00HKB9SR5",16.3,20.0,0.0,-311.0,nan,-4627.0,-84.31,-76.92
"BBG00KGFTD86",16.5,9.22,0.0,-26.2,nan,-329.04,-3.17,-4.24
"BBG00F17MVL3",18.18,9.09,2.27,-300.0,2002.0,6732.0,168.19,184.36
"BBG00FB978L6",19.83,8.26,0.0,-297.9,nan,1161.0,-0.62,24.31
"BBG00JDS8JM8",17.76,19.63,0.0,-311.33,nan,-1718.0,-29.27,-36.82
"BBG00NB4WD68",23.04,12.44,0.0,-316.96,nan,-1388.0,-10.8,27.49
"BBG00J8B8QK7",22.37,11.84,0.0,-310.61,nan,-2961.0,-63.6,-22.5
"TCS00A0ZZWJ3",16.44,21.46,0.46,-313.72,2116.0,-2529.0,-71.87,-49.83
"BBG00JCTFXS2",19.3,14.04,0.58,-313.42,2082.0,-2070.0,-40.89,-33.62
"BBG00Y7KXWY9",17.58,9.89,0.0,-301.39,nan,-5065.0,-84.4,-46.48
"BBG00NJ3YSN8",18.41,0.84,0.0,-252.0,nan,-2074.8,-19.1,-12.76
"BBG00ZGVRGJ1",14.94,2.3,0.0,-300.0,nan,-790.0,-5.79,-17.37
"BBG00R0Z4YW8",18.52,7.94,0.0,-292.87,nan,-1868.0,-54.53,-28.39
"BBG00GH12JY2",20.59,20.59,0.0,-310.76,nan,6064.0,118.09,101.34
"BBG00HS78YK1",17.21,13.11,0.0,-309.72,nan,-4571.0,-15.55,-32.21
"BBG002WJHMY4",16.47,19.61,0.39,-314.2,2061.0,-5709.0,-30.7,-50.69
"BBG00Y3YJB84",19.38,14.54,0.0,-320.55,nan,-4558.0,-36.35,-4.99
"BBG00FVSZBH9",17.33,8.0,0.0,-329.89,nan,-2078.0,-55.43,-23.57
"BBG00N6FR9B8",18.18,7.27,1.82,-307.25,2052.0,453.0,-23.92,3.9
"BBG00LLCGT66",21.13,4.12,0.0,-302.88,nan,47.0,-6.91,-2.63
"BBG00B9PJ7V0",18.29,5.71,0.0,-339.3,nan,1620.0,-5.48,20.99
"BBG0058ZL5S7",17.77,4.57,0.0,-311.11,nan,-4479.0,-56.06,-42.68
"BBG00QPVNQS3",21.86,6.01,0.0,-299.82,nan,-1028.0,-22.9,-9.38
"BBG00FFH2Z75",17.67,0.0,0.0,nan,nan,-942.0,-7.44,-8.17
"TCS00A101XD8",13.17,0.82,0.0,-307.0,nan,-4974.0,-35.18,-46.1
